Ponto Planejado (mm),,Dose Planejada (cGy),,,,,,
x,y,Simulação 1,Simulação 2,Simulação 3,Simulação 4,Simulação 5,Simulação 6,Simulação 7
-6.5,-11.5,52.14,25.83,25.94,33.98,26.84,45.69,45.68
-2.5,-6.5,52.08,29.17,26.32,47.77,29.83,45.66,45.66
2.5,-6.5,52.08,44.98,26.32,49.22,29.82,45.65,45.65
0.0,-9.0,52.11,40.48,26.08,48.89,27.50,45.68,45.67
-2.5,-11.5,52.14,29.18,25.96,47.82,26.85,45.70,45.69
2.5,-11.5,52.13,45.04,25.95,49.27,26.85,45.69,45.68
6.5,-6.5,52.10,49.12,26.31,49.65,29.82,45.65,45.65
11.5,-6.5,52.14,49.44,26.31,49.80,29.81,45.67,45.67
9.0,-9.0,52.15,49.08,26.07,49.75,27.49,45.68,45.67
6.5,-11.5,52.14,48.08,25.94,49.68,26.83,45.68,45.67
11.5,-11.5,52.17,48.39,25.93,49.82,26.83,45.69,45.68
15.5,-6.5,52.02,49.40,26.22,49.59,29.71,45.57,45.55
20.5,-6.5,50.68,48.22,25.48,48.33,28.84,44.43,44.32
18.0,-9.0,51.71,49.16,25.80,49.32,27.18,45.30,45.25
15.5,-11.5,52.05,49.44,25.86,49.61,26.74,45.59,45.56
20.5,-11.5,50.73,48.26,25.17,48.36,26.05,44.46,44.35
-20.5,-15.5,50.65,24.89,24.98,25.04,25.25,44.39,44.28
-15.5,-15.5,51.96,25.61,25.65,25.91,25.89,45.50,45.47
-18.0,-18.0,51.38,25.29,25.30,25.48,25.50,45.00,44.94
-20.5,-20.5,49.58,24.39,24.34,24.50,24.59,43.52,43.32
-15.5,-20.5,50.80,25.07,24.96,25.31,25.16,44.52,44.43
-11.5,-15.5,52.07,25.76,25.72,26.91,25.96,45.60,45.58
-6.5,-15.5,52.04,26.20,25.73,33.88,25.97,45.60,45.58
-9.0,-18.0,51.77,25.74,25.52,27.78,25.71,45.36,45.32
-11.5,-20.5,50.90,25.20,25.02,26.24,25.22,44.62,44.53
-6.5,-20.5,50.86,25.59,25.02,33.02,25.22,44.61,44.52
-2.5,-15.5,52.04,29.11,25.74,47.75,25.98,45.61,45.60
2.5,-15.5,52.04,44.98,25.74,49.18,25.97,45.60,45.59
0.0,-18.0,51.76,40.26,25.54,48.58,25.73,45.37,45.34
-2.5,-20.5,50.87,28.39,25.04,46.74,25.23,44.63,44.54
2.5,-20.5,50.87,44.09,25.03,48.07,25.23,44.63,44.53
6.5,-15.5,52.04,46.13,25.72,49.58,25.96,45.59,45.57
11.5,-15.5,52.07,46.44,25.72,49.72,25.96,45.60,45.58
9.0,-18.0,51.77,46.10,25.52,49.38,25.71,45.36,45.32
6.5,-20.5,50.86,45.15,25.02,48.44,25.21,44.61,44.51
11.5,-20.5,50.90,45.45,25.03,48.57,25.22,44.62,44.53
15.5,-15.5,51.97,49.36,25.66,49.52,25.89,45.51,45.47
20.5,-15.5,50.66,48.22,24.98,48.29,25.25,44.39,44.28
18.0,-18.0,51.39,48.89,25.30,48.99,25.50,45.01,44.95
15.5,-20.5,50.81,48.33,24.97,48.40,25.16,44.53,44.44
20.5,-20.5,49.61,47.27,24.35,47.26,24.60,43.53,43.34
