TLD,Dose Medida (Dm),Dose Calculada (Dc),Ponto Medido X (rm_x),Ponto Medido Y (rm_y),Ponto Calculado X (rc_x),Ponto Calculado Y (rc_y)
88,4443,4432,18,18,15,21
,4443,4426,18,18,16,21
,4443,4418,18,18,17,21
,4443,4404,18,18,18,21
,4443,4384,18,18,19,21
,4443,4352,18,18,20,21
,4443,4300,18,18,21,21
,4443,4481,18,18,15,20
,4443,4475,18,18,16,20
,4443,4466,18,18,17,20
,4443,4452,18,18,18,20
,4443,4431,18,18,19,20
,4443,4398,18,18,20,20
,4443,4346,18,18,21,20
,4443,4512,18,18,15,19
,4443,4506,18,18,16,19
,4443,4496,18,18,17,19
,4443,4482,18,18,18,19
,4443,4460,18,18,19,19
,4443,4426,18,18,20,19
,4443,4374,18,18,21,19
,4443,4532,18,18,15,18
,4443,4526,18,18,16,18
,4443,4517,18,18,17,18
,4443,4502,18,18,18,18
,4443,4480,18,18,19,18
,4443,4445,18,18,20,18
,4443,4392,18,18,21,18
,4443,4544,18,18,15,17
,4443,4539,18,18,16,17
,4443,4529,18,18,17,17
,4443,4515,18,18,18,17
,4443,4492,18,18,19,17
,4443,4457,18,18,20,17
,4443,4403,18,18,21,17
,4443,4553,18,18,15,16
,4443,4547,18,18,16,16
,4443,4537,18,18,17,16
,4443,4522,18,18,18,16
,4443,4500,18,18,19,16
,4443,4464,18,18,20,16
,4443,4410,18,18,21,16
,4443,4558,18,18,15,15
,4443,4552,18,18,16,15
,4443,4542,18,18,17,15
,4443,4527,18,18,18,15
,4443,4505,18,18,19,15
,4443,4469,18,18,20,15
,4443,4415,18,18,21,15
100,4498,4438,9,18,6,21
,4498,4437,9,18,7,21
,4498,4437,9,18,8,21
,4498,4438,9,18,9,21
,4498,4439,9,18,10,21
,4498,4439,9,18,11,21
,4498,4439,9,18,12,21
,4498,4486,9,18,6,20
,4498,4486,9,18,7,20
,4498,4486,9,18,8,20
,4498,4487,9,18,9,20
,4498,4487,9,18,10,20
,4498,4487,9,18,11,20
,4498,4487,9,18,12,20
,4498,4517,9,18,6,19
,4498,4516,9,18,7,19
,4498,4516,9,18,8,19
,4498,4517,9,18,9,19
,4498,4518,9,18,10,19
,4498,4518,9,18,11,19
,4498,4518,9,18,12,19
,4498,4537,9,18,6,18
,4498,4537,9,18,7,18
,4498,4537,9,18,8,18
,4498,4537,9,18,9,18
,4498,4538,9,18,10,18
,4498,4539,9,18,11,18
,4498,4538,9,18,12,18
,4498,4550,9,18,6,17
,4498,4550,9,18,7,17
,4498,4550,9,18,8,17
,4498,4550,9,18,9,17
,4498,4551,9,18,10,17
,4498,4551,9,18,11,17
,4498,4551,9,18,12,17
,4498,4559,9,18,6,16
,4498,4558,9,18,7,16
,4498,4558,9,18,8,16
,4498,4559,9,18,9,16
,4498,4559,9,18,10,16
,4498,4560,9,18,11,16
,4498,4559,9,18,12,16
,4498,4564,9,18,6,15
,4498,4564,9,18,7,15
,4498,4564,9,18,8,15
,4498,4564,9,18,9,15
,4498,4565,9,18,10,15
,4498,4565,9,18,11,15
,4498,4565,9,18,12,15
249,4508,4441,0,18,-3,21
,4508,4441,0,18,-2,21
,4508,4441,0,18,-1,21
,4508,4441,0,18,0,21
,4508,4440,0,18,1,21
,4508,4440,0,18,2,21
,4508,4440,0,18,3,21
,4508,4489,0,18,-3,20
,4508,4489,0,18,-2,20
,4508,4489,0,18,-1,20
,4508,4489,0,18,0,20
,4508,4488,0,18,1,20
,4508,4488,0,18,2,20
,4508,4488,0,18,3,20
,4508,4519,0,18,-3,19
,4508,4520,0,18,-2,19
,4508,4520,0,18,-1,19
,4508,4519,0,18,0,19
,4508,4519,0,18,1,19
,4508,4519,0,18,2,19
,4508,4518,0,18,3,19
,4508,4540,0,18,-3,18
,4508,4540,0,18,-2,18
,4508,4540,0,18,-1,18
,4508,4539,0,18,0,18
,4508,4539,0,18,1,18
,4508,4539,0,18,2,18
,4508,4539,0,18,3,18
,4508,4553,0,18,-3,17
,4508,4553,0,18,-2,17
,4508,4553,0,18,-1,17
,4508,4552,0,18,0,17
,4508,4552,0,18,1,17
,4508,4552,0,18,2,17
,4508,4551,0,18,3,17
,4508,4561,0,18,-3,16
,4508,4561,0,18,-2,16
,4508,4561,0,18,-1,16
,4508,4561,0,18,0,16
,4508,4560,0,18,1,16
,4508,4560,0,18,2,16
,4508,4560,0,18,3,16
,4508,4566,0,18,-3,15
,4508,4566,0,18,-2,15
,4508,4566,0,18,-1,15
,4508,4566,0,18,0,15
,4508,4566,0,18,1,15
,4508,4565,0,18,2,15
,4508,4565,0,18,3,15
245,4458,4439,-9,18,-12,21
,4458,4439,-9,18,-11,21
,4458,4439,-9,18,-10,21
,4458,4439,-9,18,-9,21
,4458,4438,-9,18,-8,21
,4458,4438,-9,18,-7,21
,4458,4439,-9,18,-6,21
,4458,4488,-9,18,-12,20
,4458,4488,-9,18,-11,20
,4458,4488,-9,18,-10,20
,4458,4487,-9,18,-9,20
,4458,4486,-9,18,-8,20
,4458,4486,-9,18,-7,20
,4458,4487,-9,18,-6,20
,4458,4518,-9,18,-12,19
,4458,4518,-9,18,-11,19
,4458,4518,-9,18,-10,19
,4458,4518,-9,18,-9,19
,4458,4517,-9,18,-8,19
,4458,4517,-9,18,-7,19
,4458,4518,-9,18,-6,19
,4458,4538,-9,18,-12,18
,4458,4539,-9,18,-11,18
,4458,4539,-9,18,-10,18
,4458,4538,-9,18,-9,18
,4458,4537,-9,18,-8,18
,4458,4537,-9,18,-7,18
,4458,4538,-9,18,-6,18
