TLD,Dose Medida (Dm),Dose Calculada (Dc),Ponto Medido X (rm_x),Ponto Medido Y (rm_y),Ponto Calculado X (rc_x),Ponto Calculado Y (rc_y)
,5080,4996,-18,18,-19,21
,5080,5022,-18,18,-18,21
,5080,5038,-18,18,-17,21
,5080,5048,-18,18,-16,21
,5080,5054,-18,18,-15,21
,5080,4951,-18,18,-21,20
,5080,5013,-18,18,-20,20
,5080,5053,-18,18,-19,20
,5080,5079,-18,18,-18,20
,5080,5095,-18,18,-17,20
,5080,5105,-18,18,-16,20
,5080,5112,-18,18,-15,20
,5080,4985,-18,18,-21,19
,5080,5048,-18,18,-20,19
,5080,5088,-18,18,-19,19
,5080,5114,-18,18,-18,19
,5080,5131,-18,18,-17,19
,5080,5142,-18,18,-16,19
,5080,5148,-18,18,-15,19
,5080,5007,-18,18,-21,18
,5080,5071,-18,18,-20,18
,5080,5111,-18,18,-19,18
,5080,5138,-18,18,-18,18
,5080,5155,-18,18,-17,18
,5080,5165,-18,18,-16,18
,5080,5172,-18,18,-15,18
,5080,5021,-18,18,-21,17
,5080,5085,-18,18,-20,17
,5080,5126,-18,18,-19,17
,5080,5153,-18,18,-18,17
,5080,5170,-18,18,-17,17
,5080,5181,-18,18,-16,17
,5080,5187,-18,18,-15,17
,5080,5030,-18,18,-21,16
,5080,5094,-18,18,-20,16
,5080,5135,-18,18,-19,16
,5080,5162,-18,18,-18,16
,5080,5179,-18,18,-17,16
,5080,5190,-18,18,-16,16
,5080,5197,-18,18,-15,16
,5080,5035,-18,18,-21,15
,5080,5100,-18,18,-20,15
,5080,5141,-18,18,-19,15
,5080,5168,-18,18,-18,15
,5080,5185,-18,18,-17,15
,5080,5196,-18,18,-16,15
,5080,5203,-18,18,-15,15
107,5118,5209,18,9,15,12
,5118,5202,18,9,16,12
,5118,5191,18,9,17,12
,5118,5173,18,9,18,12
,5118,5146,18,9,19,12
,5118,5105,18,9,20,12
,5118,5041,18,9,21,12
,5118,5209,18,9,15,11
,5118,5202,18,9,16,11
,5118,5191,18,9,17,11
,5118,5173,18,9,18,11
,5118,5146,18,9,19,11
,5118,5105,18,9,20,11
,5118,5041,18,9,21,11
,5118,5209,18,9,15,10
,5118,5201,18,9,16,10
,5118,5190,18,9,17,10
,5118,5172,18,9,18,10
,5118,5145,18,9,19,10
,5118,5104,18,9,20,10
