TLD,Dose Medida (Dm),Dose Calculada (Dc),Ponto Medido X (rm_x),Ponto Medido Y (rm_y),Ponto Calculado X (rc_x),Ponto Calculado Y (rc_y),,,
,2584,2585,-9,18,-12,18,,,
,2584,2589,-9,18,-11,18,,,
,2584,2594,-9,18,-10,18,,,
,2584,2600,-9,18,-9,18,,,
,2584,2608,-9,18,-8,18,,,
,2584,2621,-9,18,-7,18,,,
,2584,2640,-9,18,-6,18,,,
,2584,2593,-9,18,-12,17,,,
,2584,2597,-9,18,-11,17,,,
,2584,2602,-9,18,-10,17,,,
,2584,2608,-9,18,-9,17,,,
,2584,2616,-9,18,-8,17,,,
,2584,2629,-9,18,-7,17,,,
,2584,2649,-9,18,-6,17,,,
,2584,2597,-9,18,-12,16,,,
,2584,2602,-9,18,-11,16,,,
,2584,2607,-9,18,-10,16,,,
,2584,2613,-9,18,-9,16,,,
,2584,2622,-9,18,-8,16,,,
,2584,2635,-9,18,-7,16,,,
,2584,2654,-9,18,-6,16,,,
,2584,2601,-9,18,-12,15,,,
,2584,2605,-9,18,-11,15,,,
,2584,2610,-9,18,-10,15,,,
,2584,2616,-9,18,-9,15,,,
,2584,2625,-9,18,-8,15,,,
,2584,2638,-9,18,-7,15,,,
,2584,2658,-9,18,-6,15,,,
115,2501,2408,-18,18,-21,21,,,
,2501,2440,-18,18,-20,21,,,
,2501,2461,-18,18,-19,21,,,
,2501,2475,-18,18,-18,21,,,
,2501,2485,-18,18,-17,21,,,
,2501,2492,-18,18,-16,21,,,
,2501,2497,-18,18,-15,21,,,
,2501,2435,-18,18,-21,20,,,
,2501,2467,-18,18,-20,20,,,
,2501,2488,-18,18,-19,20,,,
,2501,2502,-18,18,-18,20,,,
,2501,2512,-18,18,-17,20,,,
,2501,2519,-18,18,-16,20,,,
,2501,2524,-18,18,-15,20,,,
,2501,2452,-18,18,-21,19,,,
,2501,2484,-18,18,-20,19,,,
,2501,2505,-18,18,-19,19,,,
,2501,2519,-18,18,-18,19,,,
,2501,2529,-18,18,-17,19,,,
,2501,2536,-18,18,-16,19,,,
,2501,2541,-18,18,-15,19,,,
,2501,2462,-18,18,-21,18,,,
,2501,2495,-18,18,-20,18,,,
,2501,2516,-18,18,-19,18,,,
,2501,2530,-18,18,-18,18,,,
,2501,2540,-18,18,-17,18,,,
,2501,2547,-18,18,-16,18,,,
,2501,2553,-18,18,-15,18,,,
,2501,2469,-18,18,-21,17,,,
,2501,2501,-18,18,-20,17,,,
,2501,2522,-18,18,-19,17,,,
,2501,2537,-18,18,-18,17,,,
,2501,2547,-18,18,-17,17,,,
,2501,2554,-18,18,-16,17,,,
,2501,2560,-18,18,-15,17,,,
,2501,2473,-18,18,-21,16,,,
,2501,2505,-18,18,-20,16,,,
,2501,2527,-18,18,-19,16,,,
,2501,2541,-18,18,-18,16,,,
,2501,2551,-18,18,-17,16,,,
,2501,2559,-18,18,-16,16,,,
,2501,2564,-18,18,-15,16,,,
,2501,2475,-18,18,-21,15,,,
,2501,2508,-18,18,-20,15,,,
,2501,2529,-18,18,-19,15,,,
,2501,2544,-18,18,-18,15,,,
,2501,2554,-18,18,-17,15,,,
,2501,2562,-18,18,-16,15,,,
,2501,2567,-18,18,-15,15,,,
230,4909,4947,18,9,15,12,,,
,4909,4943,18,9,16,12,,,
,4909,4934,18,9,17,12,,,
,4909,4920,18,9,18,12,,,
,4909,4896,18,9,19,12,,,
,4909,4858,18,9,20,12,,,
,4909,4797,18,9,21,12,,,
,4909,4947,18,9,15,11,,,
,4909,4942,18,9,16,11,,,
,4909,4934,18,9,17,11,,,
,4909,4919,18,9,18,11,,,
,4909,4895,18,9,19,11,,,
,4909,4857,18,9,20,11,,,
,4909,4797,18,9,21,11,,,
,4909,4946,18,9,15,10,,,
,4909,4942,18,9,16,10,,,
,4909,4933,18,9,17,10,,,
,4909,4918,18,9,18,10,,,
,4909,4894,18,9,19,10,,,
,4909,4856,18,9,20,10,,,
,4909,4795,18,9,21,10,,,
,4909,4945,18,9,15,9,,,
,4909,4940,18,9,16,9,,,
,4909,4932,18,9,17,9,,,
,4909,4917,18,9,18,9,,,
,4909,4893,18,9,19,9,,,
,4909,4854,18,9,20,9,,,
,4909,4794,18,9,21,9,,,
,4909,4943,18,9,15,8,,,
,4909,4939,18,9,16,8,,,
,4909,4930,18,9,17,8,,,
,4909,4916,18,9,18,8,,,
,4909,4891,18,9,19,8,,,
,4909,4853,18,9,20,8,,,
,4909,4792,18,9,21,8,,,
,4909,4943,18,9,15,7,,,
,4909,4938,18,9,16,7,,,
,4909,4930,18,9,17,7,,,
,4909,4915,18,9,18,7,,,
,4909,4891,18,9,19,7,,,
,4909,4852,18,9,20,7,,,
,4909,4791,18,9,21,7,,,
,4909,4943,18,9,15,6,,,
