TLD,Dose Medida (Dm),Dose Calculada (Dc),Ponto Medido X (rm_x),Ponto Medido Y (rm_y),Ponto Calculado X (rc_x),Ponto Calculado Y (rc_y),,,
,2522,2557,-18,0,-17,1,,,
,2522,2565,-18,0,-16,1,,,
,2522,2571,-18,0,-15,1,,,
,2522,2476,-18,0,-21,0,,,
,2522,2510,-18,0,-20,0,,,
,2522,2532,-18,0,-19,0,,,
,2522,2547,-18,0,-18,0,,,
,2522,2557,-18,0,-17,0,,,
,2522,2565,-18,0,-16,0,,,
,2522,2571,-18,0,-15,0,,,
,2522,2476,-18,0,-21,-1,,,
,2522,2510,-18,0,-20,-1,,,
,2522,2532,-18,0,-19,-1,,,
,2522,2547,-18,0,-18,-1,,,
,2522,2557,-18,0,-17,-1,,,
,2522,2565,-18,0,-16,-1,,,
,2522,2571,-18,0,-15,-1,,,
,2522,2476,-18,0,-21,-2,,,
,2522,2510,-18,0,-20,-2,,,
,2522,2532,-18,0,-19,-2,,,
,2522,2547,-18,0,-18,-2,,,
,2522,2557,-18,0,-17,-2,,,
,2522,2565,-18,0,-16,-2,,,
,2522,2571,-18,0,-15,-2,,,
,2522,2476,-18,0,-21,-3,,,
,2522,2509,-18,0,-20,-3,,,
,2522,2531,-18,0,-19,-3,,,
,2522,2546,-18,0,-18,-3,,,
,2522,2557,-18,0,-17,-3,,,
,2522,2565,-18,0,-16,-3,,,
,2522,2571,-18,0,-15,-3,,,
128,4905,4943,18,-9,15,-6,,,
,4905,4939,18,-9,16,-6,,,
,4905,4930,18,-9,17,-6,,,
,4905,4916,18,-9,18,-6,,,
,4905,4891,18,-9,19,-6,,,
,4905,4853,18,-9,20,-6,,,
,4905,4792,18,-9,21,-6,,,
,4905,4943,18,-9,15,-7,,,
,4905,4938,18,-9,16,-7,,,
,4905,4930,18,-9,17,-7,,,
,4905,4915,18,-9,18,-7,,,
,4905,4891,18,-9,19,-7,,,
,4905,4852,18,-9,20,-7,,,
,4905,4792,18,-9,21,-7,,,
,4905,4943,18,-9,15,-8,,,
,4905,4939,18,-9,16,-8,,,
,4905,4930,18,-9,17,-8,,,
,4905,4915,18,-9,18,-8,,,
,4905,4891,18,-9,19,-8,,,
,4905,4853,18,-9,20,-8,,,
,4905,4792,18,-9,21,-8,,,
,4905,4944,18,-9,15,-9,,,
,4905,4940,18,-9,16,-9,,,
,4905,4931,18,-9,17,-9,,,
,4905,4917,18,-9,18,-9,,,
,4905,4893,18,-9,19,-9,,,
,4905,4854,18,-9,20,-9,,,
,4905,4794,18,-9,21,-9,,,
,4905,4945,18,-9,15,-10,,,
,4905,4941,18,-9,16,-10,,,
,4905,4932,18,-9,17,-10,,,
,4905,4918,18,-9,18,-10,,,
,4905,4894,18,-9,19,-10,,,
,4905,4856,18,-9,20,-10,,,
,4905,4795,18,-9,21,-10,,,
,4905,4946,18,-9,15,-11,,,
,4905,4942,18,-9,16,-11,,,
,4905,4933,18,-9,17,-11,,,
,4905,4919,18,-9,18,-11,,,
,4905,4895,18,-9,19,-11,,,
,4905,4857,18,-9,20,-11,,,
,4905,4796,18,-9,21,-11,,,
,4905,4946,18,-9,15,-12,,,
,4905,4942,18,-9,16,-12,,,
,4905,4934,18,-9,17,-12,,,
,4905,4919,18,-9,18,-12,,,
,4905,4895,18,-9,19,-12,,,
,4905,4857,18,-9,20,-12,,,
,4905,4797,18,-9,21,-12,,,
189,4914,4909,9,-9,6,-6,,,
,4914,4922,9,-9,7,-6,,,
,4914,4931,9,-9,8,-6,,,
,4914,4938,9,-9,9,-6,,,
,4914,4944,9,-9,10,-6,,,
,4914,4948,9,-9,11,-6,,,
,4914,4951,9,-9,12,-6,,,
,4914,4910,9,-9,6,-7,,,
,4914,4922,9,-9,7,-7,,,
,4914,4931,9,-9,8,-7,,,
,4914,4938,9,-9,9,-7,,,
,4914,4944,9,-9,10,-7,,,
,4914,4948,9,-9,11,-7,,,
,4914,4951,9,-9,12,-7,,,
,4914,4911,9,-9,6,-8,,,
,4914,4923,9,-9,7,-8,,,
,4914,4932,9,-9,8,-8,,,
,4914,4939,9,-9,9,-8,,,
,4914,4945,9,-9,10,-8,,,
,4914,4949,9,-9,11,-8,,,
,4914,4952,9,-9,12,-8,,,
,4914,4912,9,-9,6,-9,,,
,4914,4924,9,-9,7,-9,,,
,4914,4933,9,-9,8,-9,,,
,4914,4940,9,-9,9,-9,,,
,4914,4946,9,-9,10,-9,,,
,4914,4950,9,-9,11,-9,,,
,4914,4953,9,-9,12,-9,,,
,4914,4913,9,-9,6,-10,,,
,4914,4925,9,-9,7,-10,,,
,4914,4934,9,-9,8,-10,,,
,4914,4941,9,-9,9,-10,,,
,4914,4946,9,-9,10,-10,,,
,4914,4951,9,-9,11,-10,,,
,4914,4954,9,-9,12,-10,,,
,4914,4914,9,-9,6,-11,,,
,4914,4925,9,-9,7,-11,,,
,4914,4934,9,-9,8,-11,,,
,4914,4941,9,-9,9,-11,,,
,4914,4947,9,-9,10,-11,,,
,4914,4951,9,-9,11,-11,,,
,4914,4954,9,-9,12,-11,,,
,4914,4914,9,-9,6,-12,,,
,4914,4926,9,-9,7,-12,,,
,4914,4934,9,-9,8,-12,,,
,4914,4942,9,-9,9,-12,,,
,4914,4947,9,-9,10,-12,,,
,4914,4951,9,-9,11,-12,,,
,4914,4954,9,-9,12,-12,,,
179,3940,2803,0,-9,-3,-6,,,
,3940,2978,0,-9,-2,-6,,,
,3940,3464,0,-9,-1,-6,,,
,3940,4045,0,-9,0,-6,,,
,3940,4341,0,-9,1,-6,,,
,3940,4465,0,-9,2,-6,,,
,3940,4531,0,-9,3,-6,,,
,3940,2804,0,-9,-3,-7,,,
,3940,2979,0,-9,-2,-7,,,
,3940,3464,0,-9,-1,-7,,,
,3940,4046,0,-9,0,-7,,,
,3940,4342,0,-9,1,-7,,,
,3940,4466,0,-9,2,-7,,,
,3940,4532,0,-9,3,-7,,,
,3940,2804,0,-9,-3,-8,,,
,3940,2979,0,-9,-2,-8,,,
,3940,3465,0,-9,-1,-8,,,
,3940,4047,0,-9,0,-8,,,
,3940,4343,0,-9,1,-8,,,
,3940,4468,0,-9,2,-8,,,
,3940,4533,0,-9,3,-8,,,
,3940,2805,0,-9,-3,-9,,,
,3940,2980,0,-9,-2,-9,,,
,3940,3466,0,-9,-1,-9,,,
,3940,4048,0,-9,0,-9,,,
,3940,4345,0,-9,1,-9,,,
,3940,4469,0,-9,2,-9,,,
,3940,4535,0,-9,3,-9,,,
,3940,2805,0,-9,-3,-10,,,
,3940,2980,0,-9,-2,-10,,,
,3940,3467,0,-9,-1,-10,,,
,3940,4049,0,-9,0,-10,,,
,3940,4346,0,-9,1,-10,,,
,3940,4470,0,-9,2,-10,,,
,3940,4536,0,-9,3,-10,,,
,3940,2805,0,-9,-3,-11,,,
,3940,2980,0,-9,-2,-11,,,
,3940,3467,0,-9,-1,-11,,,
,3940,4050,0,-9,0,-11,,,
,3940,4347,0,-9,1,-11,,,
,3940,4471,0,-9,2,-11,,,
,3940,4537,0,-9,3,-11,,,
,3940,2805,0,-9,-3,-12,,,
,3940,2980,0,-9,-2,-12,,,
,3940,3467,0,-9,-1,-12,,,
,3940,4051,0,-9,0,-12,,,
,3940,4347,0,-9,1,-12,,,
,3940,4472,0,-9,2,-12,,,
,3940,4537,0,-9,3,-12,,,
98,2613,2603,-9,-9,-12,-6,,,
,2613,2608,-9,-9,-11,-6,,,
,2613,2613,-9,-9,-10,-6,,,
,2613,2619,-9,-9,-9,-6,,,
,2613,2628,-9,-9,-8,-6,,,
,2613,2641,-9,-9,-7,-6,,,
,2613,2661,-9,-9,-6,-6,,,
,2613,2603,-9,-9,-12,-7,,,
,2613,2608,-9,-9,-11,-7,,,
,2613,2613,-9,-9,-10,-7,,,
,2613,2619,-9,-9,-9,-7,,,
,2613,2628,-9,-9,-8,-7,,,
,2613,2641,-9,-9,-7,-7,,,
,2613,2661,-9,-9,-6,-7,,,
,2613,2603,-9,-9,-12,-8,,,
,2613,2607,-9,-9,-11,-8,,,
,2613,2613,-9,-9,-10,-8,,,
,2613,2619,-9,-9,-9,-8,,,
,2613,2628,-9,-9,-8,-8,,,
,2613,2641,-9,-9,-7,-8,,,
,2613,2661,-9,-9,-6,-8,,,
,2613,2603,-9,-9,-12,-9,,,
,2613,2608,-9,-9,-11,-9,,,
,2613,2613,-9,-9,-10,-9,,,
,2613,2620,-9,-9,-9,-9,,,
,2613,2629,-9,-9,-8,-9,,,
,2613,2642,-9,-9,-7,-9,,,
,2613,2661,-9,-9,-6,-9,,,
,2613,2603,-9,-9,-12,-10,,,
,2613,2608,-9,-9,-11,-10,,,
,2613,2613,-9,-9,-10,-10,,,
,2613,2620,-9,-9,-9,-10,,,
,2613,2629,-9,-9,-8,-10,,,
,2613,2642,-9,-9,-7,-10,,,
,2613,2662,-9,-9,-6,-10,,,
,2613,2603,-9,-9,-12,-11,,,
,2613,2608,-9,-9,-11,-11,,,
,2613,2613,-9,-9,-10,-11,,,
,2613,2619,-9,-9,-9,-11,,,
,2613,2628,-9,-9,-8,-11,,,
,2613,2642,-9,-9,-7,-11,,,
,2613,2661,-9,-9,-6,-11,,,
,2613,2603,-9,-9,-12,-12,,,
,2613,2607,-9,-9,-11,-12,,,
,2613,2613,-9,-9,-10,-12,,,
,2613,2619,-9,-9,-9,-12,,,
,2613,2628,-9,-9,-8,-12,,,
,2613,2641,-9,-9,-7,-12,,,
,2613,2661,-9,-9,-6,-12,,,
83,2554,2475,-18,-9,-21,-6,,,
,2554,2508,-18,-9,-20,-6,,,
,2554,2530,-18,-9,-19,-6,,,
,2554,2545,-18,-9,-18,-6,,,
,2554,2556,-18,-9,-17,-6,,,
,2554,2564,-18,-9,-16,-6,,,
,2554,2569,-18,-9,-15,-6,,,
,2554,2474,-18,-9,-21,-7,,,
,2554,2508,-18,-9,-20,-7,,,
,2554,2530,-18,-9,-19,-7,,,
,2554,2545,-18,-9,-18,-7,,,
,2554,2555,-18,-9,-17,-7,,,
,2554,2563,-18,-9,-16,-7,,,
,2554,2569,-18,-9,-15,-7,,,
,2554,2475,-18,-9,-21,-8,,,
,2554,2508,-18,-9,-20,-8,,,
,2554,2530,-18,-9,-19,-8,,,
,2554,2545,-18,-9,-18,-8,,,
,2554,2555,-18,-9,-17,-8,,,
,2554,2563,-18,-9,-16,-8,,,
,2554,2569,-18,-9,-15,-8,,,
,2554,2475,-18,-9,-21,-9,,,
,2554,2508,-18,-9,-20,-9,,,
,2554,2530,-18,-9,-19,-9,,,
,2554,2545,-18,-9,-18,-9,,,
,2554,2556,-18,-9,-17,-9,,,
,2554,2564,-18,-9,-16,-9,,,
,2554,2569,-18,-9,-15,-9,,,
,2554,2476,-18,-9,-21,-10,,,
,2554,2509,-18,-9,-20,-10,,,
,2554,2531,-18,-9,-19,-10,,,
,2554,2546,-18,-9,-18,-10,,,
,2554,2556,-18,-9,-17,-10,,,
,2554,2564,-18,-9,-16,-10,,,
,2554,2570,-18,-9,-15,-10,,,
,2554,2476,-18,-9,-21,-11,,,
,2554,2509,-18,-9,-20,-11,,,
,2554,2531,-18,-9,-19,-11,,,
,2554,2546,-18,-9,-18,-11,,,
,2554,2556,-18,-9,-17,-11,,,
,2554,2564,-18,-9,-16,-11,,,
,2554,2570,-18,-9,-15,-11,,,
,2554,2476,-18,-9,-21,-12,,,
,2554,2509,-18,-9,-20,-12,,,
,2554,2531,-18,-9,-19,-12,,,
,2554,2546,-18,-9,-18,-12,,,
,2554,2556,-18,-9,-17,-12,,,
,2554,2564,-18,-9,-16,-12,,,
,2554,2570,-18,-9,-15,-12,,,
143,4877,4942,18,-18,15,-15,,,
,4877,4937,18,-18,16,-15,,,
,4877,4929,18,-18,17,-15,,,
,4877,4915,18,-18,18,-15,,,
,4877,4892,18,-18,19,-15,,,
,4877,4854,18,-18,20,-15,,,
,4877,4795,18,-18,21,-15,,,
,4877,4936,18,-18,15,-16,,,
,4877,4932,18,-18,16,-16,,,
,4877,4924,18,-18,17,-16,,,
,4877,4910,18,-18,18,-16,,,
,4877,4887,18,-18,19,-16,,,
,4877,4850,18,-18,20,-16,,,
,4877,4790,18,-18,21,-16,,,
,4877,4928,18,-18,15,-17,,,
,4877,4924,18,-18,16,-17,,,
,4877,4916,18,-18,17,-17,,,
,4877,4902,18,-18,18,-17,,,
,4877,4880,18,-18,19,-17,,,
,4877,4843,18,-18,20,-17,,,
,4877,4784,18,-18,21,-17,,,
,4877,4915,18,-18,15,-18,,,
,4877,4911,18,-18,16,-18,,,
,4877,4903,18,-18,17,-18,,,
,4877,4890,18,-18,18,-18,,,
,4877,4867,18,-18,19,-18,,,
,4877,4831,18,-18,20,-18,,,
,4877,4772,18,-18,21,-18,,,
,4877,4894,18,-18,15,-19,,,
,4877,4890,18,-18,16,-19,,,
,4877,4883,18,-18,17,-19,,,
,4877,4870,18,-18,18,-19,,,
,4877,4848,18,-18,19,-19,,,
,4877,4811,18,-18,20,-19,,,
,4877,4753,18,-18,21,-19,,,
,4877,4861,18,-18,15,-20,,,
,4877,4858,18,-18,16,-20,,,
,4877,4851,18,-18,17,-20,,,
,4877,4838,18,-18,18,-20,,,
,4877,4817,18,-18,19,-20,,,
,4877,4781,18,-18,20,-20,,,
,4877,4724,18,-18,21,-20,,,
,4877,4808,18,-18,15,-21,,,
,4877,4805,18,-18,16,-21,,,
,4877,4798,18,-18,17,-21,,,
,4877,4786,18,-18,18,-21,,,
,4877,4765,18,-18,19,-21,,,
,4877,4730,18,-18,20,-21,,,
,4877,4674,18,-18,21,-21,,,
139,4899,4909,9,-18,6,-15,,,
,4899,4920,9,-18,7,-15,,,
,4899,4929,9,-18,8,-15,,,
,4899,4936,9,-18,9,-15,,,
,4899,4942,9,-18,10,-15,,,
,4899,4946,9,-18,11,-15,,,
,4899,4949,9,-18,12,-15,,,
,4899,4904,9,-18,6,-16,,,
,4899,4915,9,-18,7,-16,,,
,4899,4924,9,-18,8,-16,,,
,4899,4931,9,-18,9,-16,,,
,4899,4936,9,-18,10,-16,,,
,4899,4941,9,-18,11,-16,,,
,4899,4944,9,-18,12,-16,,,
,4899,4896,9,-18,6,-17,,,
,4899,4907,9,-18,7,-17,,,
,4899,4915,9,-18,8,-17,,,
,4899,4922,9,-18,9,-17,,,
,4899,4928,9,-18,10,-17,,,
,4899,4932,9,-18,11,-17,,,
,4899,4935,9,-18,12,-17,,,
,4899,4883,9,-18,6,-18,,,
,4899,4893,9,-18,7,-18,,,
,4899,4902,9,-18,8,-18,,,
,4899,4909,9,-18,9,-18,,,
,4899,4914,9,-18,10,-18,,,
,4899,4919,9,-18,11,-18,,,
,4899,4922,9,-18,12,-18,,,
,4899,4862,9,-18,6,-19,,,
,4899,4872,9,-18,7,-19,,,
,4899,4880,9,-18,8,-19,,,
,4899,4887,9,-18,9,-19,,,
,4899,4893,9,-18,10,-19,,,
,4899,4897,9,-18,11,-19,,,
,4899,4900,9,-18,12,-19,,,
,4899,4830,9,-18,6,-20,,,
,4899,4840,9,-18,7,-20,,,
,4899,4848,9,-18,8,-20,,,
,4899,4855,9,-18,9,-20,,,
,4899,4860,9,-18,10,-20,,,
,4899,4865,9,-18,11,-20,,,
,4899,4868,9,-18,12,-20,,,
,4899,4777,9,-18,6,-21,,,
,4899,4787,9,-18,7,-21,,,
,4899,4794,9,-18,8,-21,,,
,4899,4801,9,-18,9,-21,,,
,4899,4807,9,-18,10,-21,,,
,4899,4811,9,-18,11,-21,,,
,4899,4814,9,-18,12,-21,,,
113,3887,2800,0,-18,-3,-15,,,
,3887,2975,0,-18,-2,-15,,,
,3887,3463,0,-18,-1,-15,,,
,3887,4047,0,-18,0,-15,,,
,3887,4344,0,-18,1,-15,,,
,3887,4468,0,-18,2,-15,,,
,3887,4534,0,-18,3,-15,,,
,3887,2796,0,-18,-3,-16,,,
,3887,2971,0,-18,-2,-16,,,
,3887,3459,0,-18,-1,-16,,,
,3887,4043,0,-18,0,-16,,,
,3887,4340,0,-18,1,-16,,,
,3887,4464,0,-18,2,-16,,,
,3887,4529,0,-18,3,-16,,,
,3887,2790,0,-18,-3,-17,,,
,3887,2965,0,-18,-2,-17,,,
,3887,3453,0,-18,-1,-17,,,
,3887,4037,0,-18,0,-17,,,
,3887,4333,0,-18,1,-17,,,
,3887,4457,0,-18,2,-17,,,
,3887,4522,0,-18,3,-17,,,
,3887,2780,0,-18,-3,-18,,,
,3887,2955,0,-18,-2,-18,,,
,3887,3443,0,-18,-1,-18,,,
,3887,4026,0,-18,0,-18,,,
,3887,4323,0,-18,1,-18,,,
,3887,4446,0,-18,2,-18,,,
,3887,4511,0,-18,3,-18,,,
,3887,2766,0,-18,-3,-19,,,
,3887,2940,0,-18,-2,-19,,,
,3887,3427,0,-18,-1,-19,,,
,3887,4010,0,-18,0,-19,,,
,3887,4306,0,-18,1,-19,,,
,3887,4429,0,-18,2,-19,,,
,3887,4493,0,-18,3,-19,,,
,3887,2745,0,-18,-3,-20,,,
,3887,2918,0,-18,-2,-20,,,
,3887,3403,0,-18,-1,-20,,,
,3887,3985,0,-18,0,-20,,,
,3887,4280,0,-18,1,-20,,,
,3887,4401,0,-18,2,-20,,,
,3887,4464,0,-18,3,-20,,,
,3887,2711,0,-18,-3,-21,,,
,3887,2882,0,-18,-2,-21,,,
,3887,3366,0,-18,-1,-21,,,
,3887,3945,0,-18,0,-21,,,
,3887,4237,0,-18,1,-21,,,
,3887,4356,0,-18,2,-21,,,
,3887,4418,0,-18,3,-21,,,
251,2566,2599,-9,-18,-12,-15,,,
,2566,2603,-9,-18,-11,-15,,,
,2566,2608,-9,-18,-10,-15,,,
,2566,2615,-9,-18,-9,-15,,,
,2566,2623,-9,-18,-8,-15,,,
,2566,2636,-9,-18,-7,-15,,,
,2566,2656,-9,-18,-6,-15,,,
,2566,2596,-9,-18,-12,-16,,,
,2566,2600,-9,-18,-11,-16,,,
,2566,2605,-9,-18,-10,-16,,,
,2566,2611,-9,-18,-9,-16,,,
,2566,2620,-9,-18,-8,-16,,,
,2566,2633,-9,-18,-7,-16,,,
,2566,2652,-9,-18,-6,-16,,,
,2566,2591,-9,-18,-12,-17,,,
,2566,2595,-9,-18,-11,-17,,,
,2566,2600,-9,-18,-10,-17,,,
,2566,2606,-9,-18,-9,-17,,,
,2566,2615,-9,-18,-8,-17,,,
,2566,2627,-9,-18,-7,-17,,,
,2566,2647,-9,-18,-6,-17,,,
,2566,2584,-9,-18,-12,-18,,,
,2566,2588,-9,-18,-11,-18,,,
,2566,2592,-9,-18,-10,-18,,,
,2566,2598,-9,-18,-9,-18,,,
,2566,2607,-9,-18,-8,-18,,,
,2566,2619,-9,-18,-7,-18,,,
,2566,2639,-9,-18,-6,-18,,,
,2566,2572,-9,-18,-12,-19,,,
,2566,2576,-9,-18,-11,-19,,,
,2566,2580,-9,-18,-10,-19,,,
,2566,2586,-9,-18,-9,-19,,,
,2566,2594,-9,-18,-8,-19,,,
,2566,2607,-9,-18,-7,-19,,,
,2566,2626,-9,-18,-6,-19,,,
,2566,2555,-9,-18,-12,-20,,,
,2566,2559,-9,-18,-11,-20,,,
,2566,2563,-9,-18,-10,-20,,,
,2566,2569,-9,-18,-9,-20,,,
,2566,2576,-9,-18,-8,-20,,,
,2566,2588,-9,-18,-7,-20,,,
,2566,2607,-9,-18,-6,-20,,,
,2566,2527,-9,-18,-12,-21,,,
,2566,2531,-9,-18,-11,-21,,,
,2566,2535,-9,-18,-10,-21,,,
,2566,2541,-9,-18,-9,-21,,,
,2566,2548,-9,-18,-8,-21,,,
,2566,2560,-9,-18,-7,-21,,,
,2566,2578,-9,-18,-6,-21,,,
134,2519,2474,-18,-18,-21,-15,,,
,2519,2507,-18,-18,-20,-15,,,
,2519,2528,-18,-18,-19,-15,,,
,2519,2543,-18,-18,-18,-15,,,
,2519,2553,-18,-18,-17,-15,,,
,2519,2561,-18,-18,-16,-15,,,
,2519,2566,-18,-18,-15,-15,,,
,2519,2472,-18,-18,-21,-16,,,
,2519,2504,-18,-18,-20,-16,,,
,2519,2526,-18,-18,-19,-16,,,
,2519,2540,-18,-18,-18,-16,,,
,2519,2550,-18,-18,-17,-16,,,
,2519,2558,-18,-18,-16,-16,,,
,2519,2563,-18,-18,-15,-16,,,
,2519,2468,-18,-18,-21,-17,,,
,2519,2500,-18,-18,-20,-17,,,
,2519,2522,-18,-18,-19,-17,,,
,2519,2536,-18,-18,-18,-17,,,
,2519,2546,-18,-18,-17,-17,,,
,2519,2553,-18,-18,-16,-17,,,
,2519,2558,-18,-18,-15,-17,,,
,2519,2462,-18,-18,-21,-18,,,
,2519,2494,-18,-18,-20,-18,,,
,2519,2515,-18,-18,-19,-18,,,
,2519,2529,-18,-18,-18,-18,,,
,2519,2539,-18,-18,-17,-18,,,
,2519,2546,-18,-18,-16,-18,,,
,2519,2551,-18,-18,-15,-18,,,
,2519,2452,-18,-18,-21,-19,,,
,2519,2484,-18,-18,-20,-19,,,
,2519,2505,-18,-18,-19,-19,,,
,2519,2519,-18,-18,-18,-19,,,
,2519,2528,-18,-18,-17,-19,,,
,2519,2535,-18,-18,-16,-19,,,
,2519,2540,-18,-18,-15,-19,,,
,2519,2436,-18,-18,-21,-20,,,
,2519,2468,-18,-18,-20,-20,,,
,2519,2489,-18,-18,-19,-20,,,
,2519,2502,-18,-18,-18,-20,,,
,2519,2512,-18,-18,-17,-20,,,
,2519,2518,-18,-18,-16,-20,,,
,2519,2524,-18,-18,-15,-20,,,
,2519,2411,-18,-18,-21,-21,,,
,2519,2442,-18,-18,-20,-21,,,
,2519,2462,-18,-18,-19,-21,,,
,2519,2476,-18,-18,-18,-21,,,
,2519,2485,-18,-18,-17,-21,,,
,2519,2492,-18,-18,-16,-21,,,
,2519,2497,-18,-18,-15,-21,,,
