TLD,Dose Medida (Dm),Dose Calculada (Dc),Ponto Medido X (rm_x),Ponto Medido Y (rm_y),Ponto Calculado X (rc_x),Ponto Calculado Y (rc_y)
184,4863,4814,18,18,15,21
,4863,4809,18,18,16,21
,4863,4800,18,18,17,21
,4863,4786,18,18,18,21
,4863,4762,18,18,19,21
,4863,4724,18,18,20,21
,4863,4663,18,18,21,21
,4863,4871,18,18,15,20
,4863,4866,18,18,16,20
,4863,4857,18,18,17,20
,4863,4842,18,18,18,20
,4863,4818,18,18,19,20
,4863,4779,18,18,20,20
,4863,4718,18,18,21,20
,4863,4906,18,18,15,19
,4863,4901,18,18,16,19
,4863,4892,18,18,17,19
,4863,4877,18,18,18,19
,4863,4852,18,18,19,19
,4863,4814,18,18,20,19
,4863,4752,18,18,21,19
,4863,4930,18,18,15,18
,4863,4924,18,18,16,18
,4863,4915,18,18,17,18
,4863,4900,18,18,18,18
,4863,4875,18,18,19,18
,4863,4836,18,18,20,18
,4863,4774,18,18,21,18
,4863,4944,18,18,15,17
,4863,4939,18,18,16,17
,4863,4930,18,18,17,17
,4863,4914,18,18,18,17
,4863,4889,18,18,19,17
,4863,4849,18,18,20,17
,4863,4787,18,18,21,17
,4863,4953,18,18,15,16
,4863,4948,18,18,16,16
,4863,4939,18,18,17,16
,4863,4923,18,18,18,16
,4863,4898,18,18,19,16
,4863,4858,18,18,20,16
,4863,4795,18,18,21,16
,4863,4959,18,18,15,15
,4863,4954,18,18,16,15
,4863,4945,18,18,17,15
,4863,4929,18,18,18,15
,4863,4904,18,18,19,15
,4863,4864,18,18,20,15
,4863,4801,18,18,21,15
86,4917,4815,9,18,6,21
,4917,4817,9,18,7,21
,4917,4820,9,18,8,21
,4917,4823,9,18,9,21
,4917,4826,9,18,10,21
,4917,4829,9,18,11,21
,4917,4831,9,18,12,21
,4917,4872,9,18,6,20
,4917,4875,9,18,7,20
,4917,4877,9,18,8,20
,4917,4881,9,18,9,20
,4917,4884,9,18,10,20
,4917,4886,9,18,11,20
,4917,4888,9,18,12,20
,4917,4908,9,18,6,19
,4917,4910,9,18,7,19
,4917,4913,9,18,8,19
,4917,4916,9,18,9,19
,4917,4919,9,18,10,19
,4917,4922,9,18,11,19
,4917,4924,9,18,12,19
,4917,4931,9,18,6,18
,4917,4934,9,18,7,18
,4917,4937,9,18,8,18
,4917,4940,9,18,9,18
,4917,4943,9,18,10,18
,4917,4945,9,18,11,18
,4917,4947,9,18,12,18
,4917,4946,9,18,6,17
,4917,4949,9,18,7,17
,4917,4952,9,18,8,17
,4917,4955,9,18,9,17
,4917,4958,9,18,10,17
,4917,4960,9,18,11,17
,4917,4962,9,18,12,17
,4917,4956,9,18,6,16
,4917,4958,9,18,7,16
,4917,4961,9,18,8,16
,4917,4965,9,18,9,16
,4917,4967,9,18,10,16
,4917,4970,9,18,11,16
,4917,4971,9,18,12,16
,4917,4962,9,18,6,15
,4917,4965,9,18,7,15
,4917,4968,9,18,8,15
,4917,4971,9,18,9,15
,4917,4974,9,18,10,15
,4917,4976,9,18,11,15
,4917,4978,9,18,12,15
234,4751,4615,0,18,-3,21
,4751,4685,0,18,-2,21
,4751,4725,0,18,-1,21
,4751,4750,0,18,0,21
,4751,4765,0,18,1,21
,4751,4776,0,18,2,21
,4751,4783,0,18,3,21
,4751,4665,0,18,-3,20
,4751,4737,0,18,-2,20
,4751,4779,0,18,-1,20
,4751,4804,0,18,0,20
,4751,4821,0,18,1,20
,4751,4832,0,18,2,20
,4751,4840,0,18,3,20
,4751,4696,0,18,-3,19
,4751,4770,0,18,-2,19
,4751,4812,0,18,-1,19
,4751,4838,0,18,0,19
,4751,4855,0,18,1,19
,4751,4867,0,18,2,19
,4751,4875,0,18,3,19
,4751,4717,0,18,-3,18
,4751,4791,0,18,-2,18
,4751,4834,0,18,-1,18
,4751,4860,0,18,0,18
,4751,4878,0,18,1,18
,4751,4890,0,18,2,18
,4751,4898,0,18,3,18
,4751,4729,0,18,-3,17
,4751,4804,0,18,-2,17
,4751,4847,0,18,-1,17
,4751,4874,0,18,0,17
,4751,4892,0,18,1,17
,4751,4904,0,18,2,17
,4751,4912,0,18,3,17
,4751,4737,0,18,-3,16
,4751,4812,0,18,-2,16
,4751,4856,0,18,-1,16
,4751,4883,0,18,0,16
,4751,4901,0,18,1,16
,4751,4913,0,18,2,16
,4751,4921,0,18,3,16
,4751,4742,0,18,-3,15
,4751,4817,0,18,-2,15
,4751,4861,0,18,-1,15
,4751,4888,0,18,0,15
,4751,4906,0,18,1,15
,4751,4919,0,18,2,15
,4751,4927,0,18,3,15
56,2766,2599,-9,18,-12,21
,2766,2620,-9,18,-11,21
,2766,2652,-9,18,-10,21
,2766,2706,-9,18,-9,21
,2766,2803,-9,18,-8,21
,2766,3003,-9,18,-7,21
,2766,3563,-9,18,-6,21
,2766,2630,-9,18,-12,20
,2766,2652,-9,18,-11,20
,2766,2686,-9,18,-10,20
,2766,2742,-9,18,-9,20
,2766,2841,-9,18,-8,20
,2766,3043,-9,18,-7,20
,2766,3606,-9,18,-6,20
,2766,2650,-9,18,-12,19
,2766,2673,-9,18,-11,19
,2766,2708,-9,18,-10,19
,2766,2764,-9,18,-9,19
,2766,2866,-9,18,-8,19
,2766,3069,-9,18,-7,19
,2766,3633,-9,18,-6,19
,2766,2664,-9,18,-12,18
,2766,2687,-9,18,-11,18
,2766,2723,-9,18,-10,18
,2766,2780,-9,18,-9,18
,2766,2882,-9,18,-8,18
,2766,3086,-9,18,-7,18
,2766,3652,-9,18,-6,18
,2766,2673,-9,18,-12,17
,2766,2697,-9,18,-11,17
,2766,2732,-9,18,-10,17
,2766,2791,-9,18,-9,17
,2766,2893,-9,18,-8,17
,2766,3098,-9,18,-7,17
,2766,3663,-9,18,-6,17
,2766,2679,-9,18,-12,16
,2766,2703,-9,18,-11,16
,2766,2739,-9,18,-10,16
,2766,2797,-9,18,-9,16
,2766,2900,-9,18,-8,16
,2766,3105,-9,18,-7,16
,2766,3671,-9,18,-6,16
,2766,2683,-9,18,-12,15
,2766,2707,-9,18,-11,15
,2766,2743,-9,18,-10,15
,2766,2802,-9,18,-9,15
,2766,2905,-9,18,-8,15
,2766,3111,-9,18,-7,15
,2766,3676,-9,18,-6,15
156,2530,2417,-18,18,-21,21
,2530,2452,-18,18,-20,21
,2530,2475,-18,18,-19,21
,2530,2491,-18,18,-18,21
,2530,2503,-18,18,-17,21
,2530,2512,-18,18,-16,21
,2530,2522,-18,18,-15,21
,2530,2446,-18,18,-21,20
,2530,2480,-18,18,-20,20
,2530,2503,-18,18,-19,20
,2530,2520,-18,18,-18,20
,2530,2532,-18,18,-17,20
,2530,2542,-18,18,-16,20
,2530,2551,-18,18,-15,20
,2530,2464,-18,18,-21,19
,2530,2498,-18,18,-20,19
,2530,2521,-18,18,-19,19
,2530,2538,-18,18,-18,19
,2530,2550,-18,18,-17,19
,2530,2561,-18,18,-16,19
,2530,2570,-18,18,-15,19
,2530,2475,-18,18,-21,18
,2530,2510,-18,18,-20,18
,2530,2533,-18,18,-19,18
,2530,2550,-18,18,-18,18
,2530,2563,-18,18,-17,18
,2530,2573,-18,18,-16,18
,2530,2583,-18,18,-15,18
,2530,2482,-18,18,-21,17
,2530,2517,-18,18,-20,17
,2530,2541,-18,18,-19,17
,2530,2558,-18,18,-18,17
,2530,2571,-18,18,-17,17
,2530,2581,-18,18,-16,17
,2530,2591,-18,18,-15,17
,2530,2487,-18,18,-21,16
,2530,2522,-18,18,-20,16
,2530,2546,-18,18,-19,16
,2530,2563,-18,18,-18,16
,2530,2576,-18,18,-17,16
,2530,2586,-18,18,-16,16
,2530,2596,-18,18,-15,16
,2530,2490,-18,18,-21,15
,2530,2525,-18,18,-20,15
,2530,2549,-18,18,-19,15
,2530,2566,-18,18,-18,15
,2530,2579,-18,18,-17,15
,2530,2590,-18,18,-16,15
,2530,2600,-18,18,-15,15
258,4921,4965,18,9,15,12
,4921,4960,18,9,16,12
,4921,4950,18,9,17,12
,4921,4935,18,9,18,12
,4921,4909,18,9,19,12
,4921,4869,18,9,20,12
,4921,4806,18,9,21,12
,4921,4965,18,9,15,11
,4921,4960,18,9,16,11
,4921,4950,18,9,17,11
,4921,4934,18,9,18,11
,4921,4909,18,9,19,11
,4921,4869,18,9,20,11
,4921,4805,18,9,21,11
,4921,4965,18,9,15,10
,4921,4959,18,9,16,10
,4921,4950,18,9,17,10
,4921,4934,18,9,18,10
,4921,4908,18,9,19,10
,4921,4868,18,9,20,10
,4921,4805,18,9,21,10
,4921,4964,18,9,15,9
,4921,4958,18,9,16,9
,4921,4949,18,9,17,9
,4921,4933,18,9,18,9
,4921,4907,18,9,19,9
,4921,4867,18,9,20,9
,4921,4803,18,9,21,9
,4921,4963,18,9,15,8
,4921,4957,18,9,16,8
,4921,4948,18,9,17,8
,4921,4932,18,9,18,8
,4921,4906,18,9,19,8
,4921,4865,18,9,20,8
,4921,4802,18,9,21,8
,4921,4962,18,9,15,7
,4921,4957,18,9,16,7
,4921,4947,18,9,17,7
,4921,4931,18,9,18,7
,4921,4905,18,9,19,7
,4921,4865,18,9,20,7
,4921,4802,18,9,21,7
,4921,4963,18,9,15,6
,4921,4957,18,9,16,6
,4921,4947,18,9,17,6
,4921,4931,18,9,18,6
,4921,4906,18,9,19,6
,4921,4865,18,9,20,6
,4921,4802,18,9,21,6
55,4947,4968,9,9,6,12
,4947,4971,9,9,7,12
,4947,4974,9,9,8,12
,4947,4977,9,9,9,12
,4947,4980,9,9,10,12
,4947,4982,9,9,11,12
,4947,4984,9,9,12,12
,4947,4968,9,9,6,11
,4947,4971,9,9,7,11
,4947,4974,9,9,8,11
,4947,4978,9,9,9,11
,4947,4980,9,9,10,11
,4947,4983,9,9,11,11
,4947,4984,9,9,12,11
,4947,4967,9,9,6,10
,4947,4971,9,9,7,10
,4947,4974,9,9,8,10
,4947,4977,9,9,9,10
,4947,4980,9,9,10,10
,4947,4982,9,9,11,10
,4947,4984,9,9,12,10
,4947,4966,9,9,6,9
,4947,4970,9,9,7,9
,4947,4973,9,9,8,9
,4947,4976,9,9,9,9
,4947,4979,9,9,10,9
,4947,4981,9,9,11,9
,4947,4983,9,9,12,9
,4947,4965,9,9,6,8
,4947,4969,9,9,7,8
,4947,4972,9,9,8,8
,4947,4975,9,9,9,8
,4947,4978,9,9,10,8
,4947,4980,9,9,11,8
,4947,4982,9,9,12,8
,4947,4964,9,9,6,7
,4947,4968,9,9,7,7
,4947,4971,9,9,8,7
,4947,4975,9,9,9,7
,4947,4978,9,9,10,7
,4947,4980,9,9,11,7
,4947,4981,9,9,12,7
,4947,4964,9,9,6,6
,4947,4967,9,9,7,6
,4947,4971,9,9,8,6
,4947,4974,9,9,9,6
,4947,4977,9,9,10,6
,4947,4980,9,9,11,6
,4947,4981,9,9,12,6
137,4718,4746,0,9,-3,12
,4718,4821,0,9,-2,12
,4718,4866,0,9,-1,12
,4718,4893,0,9,0,12
,4718,4911,0,9,1,12
,4718,4924,0,9,2,12
,4718,4933,0,9,3,12
,4718,4746,0,9,-3,11
,4718,4821,0,9,-2,11
,4718,4865,0,9,-1,11
,4718,4893,0,9,0,11
,4718,4911,0,9,1,11
,4718,4923,0,9,2,11
,4718,4932,0,9,3,11
,4718,4745,0,9,-3,10
,4718,4820,0,9,-2,10
,4718,4864,0,9,-1,10
,4718,4892,0,9,0,10
,4718,4910,0,9,1,10
,4718,4923,0,9,2,10
,4718,4931,0,9,3,10
,4718,4743,0,9,-3,9
,4718,4819,0,9,-2,9
,4718,4863,0,9,-1,9
,4718,4890,0,9,0,9
,4718,4909,0,9,1,9
,4718,4921,0,9,2,9
,4718,4930,0,9,3,9
,4718,4742,0,9,-3,8
,4718,4817,0,9,-2,8
,4718,4861,0,9,-1,8
,4718,4889,0,9,0,8
,4718,4907,0,9,1,8
,4718,4920,0,9,2,8
,4718,4929,0,9,3,8
,4718,4741,0,9,-3,7
,4718,4816,0,9,-2,7
,4718,4860,0,9,-1,7
,4718,4887,0,9,0,7
,4718,4906,0,9,1,7
,4718,4918,0,9,2,7
,4718,4927,0,9,3,7
,4718,4740,0,9,-3,6
,4718,4815,0,9,-2,6
,4718,4859,0,9,-1,6
,4718,4886,0,9,0,6
,4718,4905,0,9,1,6
,4718,4917,0,9,2,6
,4718,4927,0,9,3,6
92,2761,2688,-9,9,-12,12
,2761,2713,-9,9,-11,12
,2761,2749,-9,9,-10,12
,2761,2808,-9,9,-9,12
,2761,2912,-9,9,-8,12
,2761,3117,-9,9,-7,12
,2761,3681,-9,9,-6,12
,2761,2689,-9,9,-12,11
,2761,2713,-9,9,-11,11
,2761,2750,-9,9,-10,11
,2761,2809,-9,9,-9,11
,2761,2912,-9,9,-8,11
,2761,3117,-9,9,-7,11
,2761,3682,-9,9,-6,11
,2761,2689,-9,9,-12,10
,2761,2713,-9,9,-11,10
,2761,2750,-9,9,-10,10
,2761,2809,-9,9,-9,10
,2761,2912,-9,9,-8,10
,2761,3118,-9,9,-7,10
,2761,3681,-9,9,-6,10
,2761,2689,-9,9,-12,9
,2761,2713,-9,9,-11,9
,2761,2750,-9,9,-10,9
,2761,2809,-9,9,-9,9
,2761,2912,-9,9,-8,9
,2761,3117,-9,9,-7,9
,2761,3681,-9,9,-6,9
,2761,2689,-9,9,-12,8
,2761,2713,-9,9,-11,8
,2761,2750,-9,9,-10,8
,2761,2809,-9,9,-9,8
,2761,2912,-9,9,-8,8
,2761,3117,-9,9,-7,8
,2761,3680,-9,9,-6,8
,2761,2689,-9,9,-12,7
,2761,2713,-9,9,-11,7
,2761,2750,-9,9,-10,7
,2761,2809,-9,9,-9,7
,2761,2912,-9,9,-8,7
,2761,3117,-9,9,-7,7
,2761,3679,-9,9,-6,7
,2761,2689,-9,9,-12,6
,2761,2713,-9,9,-11,6
,2761,2750,-9,9,-10,6
,2761,2809,-9,9,-9,6
,2761,2912,-9,9,-8,6
,2761,3116,-9,9,-7,6
,2761,3679,-9,9,-6,6
187,2557,2493,-18,9,-21,12
,2557,2528,-18,9,-20,12
,2557,2553,-18,9,-19,12
,2557,2570,-18,9,-18,12
,2557,2583,-18,9,-17,12
,2557,2594,-18,9,-16,12
,2557,2604,-18,9,-15,12
,2557,2493,-18,9,-21,11
,2557,2529,-18,9,-20,11
,2557,2553,-18,9,-19,11
,2557,2570,-18,9,-18,11
,2557,2583,-18,9,-17,11
,2557,2594,-18,9,-16,11
,2557,2605,-18,9,-15,11
,2557,2493,-18,9,-21,10
,2557,2528,-18,9,-20,10
,2557,2553,-18,9,-19,10
,2557,2570,-18,9,-18,10
,2557,2583,-18,9,-17,10
,2557,2594,-18,9,-16,10
,2557,2605,-18,9,-15,10
,2557,2492,-18,9,-21,9
,2557,2528,-18,9,-20,9
,2557,2552,-18,9,-19,9
,2557,2570,-18,9,-18,9
,2557,2583,-18,9,-17,9
,2557,2594,-18,9,-16,9
,2557,2605,-18,9,-15,9
,2557,2492,-18,9,-21,8
,2557,2528,-18,9,-20,8
,2557,2552,-18,9,-19,8
,2557,2569,-18,9,-18,8
,2557,2583,-18,9,-17,8
,2557,2594,-18,9,-16,8
,2557,2604,-18,9,-15,8
,2557,2492,-18,9,-21,7
,2557,2527,-18,9,-20,7
,2557,2552,-18,9,-19,7
,2557,2569,-18,9,-18,7
,2557,2583,-18,9,-17,7
,2557,2594,-18,9,-16,7
,2557,2604,-18,9,-15,7
,2557,2492,-18,9,-21,6
,2557,2528,-18,9,-20,6
,2557,2552,-18,9,-19,6
,2557,2570,-18,9,-18,6
,2557,2583,-18,9,-17,6
,2557,2594,-18,9,-16,6
,2557,2605,-18,9,-15,6
188,4899,4963,18,0,15,3
,4899,4958,18,0,16,3
,4899,4948,18,0,17,3
,4899,4932,18,0,18,3
,4899,4907,18,0,19,3
,4899,4866,18,0,20,3
,4899,4803,18,0,21,3
,4899,4964,18,0,15,2
,4899,4958,18,0,16,2
,4899,4948,18,0,17,2
,4899,4933,18,0,18,2
,4899,4907,18,0,19,2
,4899,4867,18,0,20,2
,4899,4804,18,0,21,2
,4899,4964,18,0,15,1
,4899,4958,18,0,16,1
,4899,4949,18,0,17,1
,4899,4933,18,0,18,1
,4899,4907,18,0,19,1
,4899,4867,18,0,20,1
,4899,4804,18,0,21,1
,4899,4964,18,0,15,0
,4899,4958,18,0,16,0
,4899,4949,18,0,17,0
,4899,4933,18,0,18,0
,4899,4907,18,0,19,0
,4899,4867,18,0,20,0
,4899,4804,18,0,21,0
,4899,4964,18,0,15,-1
,4899,4959,18,0,16,-1
,4899,4949,18,0,17,-1
,4899,4933,18,0,18,-1
,4899,4907,18,0,19,-1
,4899,4867,18,0,20,-1
,4899,4804,18,0,21,-1
,4899,4964,18,0,15,-2
,4899,4959,18,0,16,-2
,4899,4949,18,0,17,-2
,4899,4933,18,0,18,-2
,4899,4907,18,0,19,-2
,4899,4867,18,0,20,-2
,4899,4804,18,0,21,-2
,4899,4964,18,0,15,-3
,4899,4958,18,0,16,-3
,4899,4949,18,0,17,-3
,4899,4933,18,0,18,-3
,4899,4907,18,0,19,-3
,4899,4867,18,0,20,-3
,4899,4804,18,0,21,-3
221,4878,4962,9,0,6,3
,4878,4966,9,0,7,3
,4878,4970,9,0,8,3
,4878,4974,9,0,9,3
,4878,4977,9,0,10,3
,4878,4980,9,0,11,3
,4878,4981,9,0,12,3
,4878,4962,9,0,6,2
,4878,4966,9,0,7,2
,4878,4970,9,0,8,2
,4878,4974,9,0,9,2
,4878,4977,9,0,10,2
,4878,4980,9,0,11,2
,4878,4982,9,0,12,2
,4878,4962,9,0,6,1
,4878,4966,9,0,7,1
,4878,4970,9,0,8,1
,4878,4974,9,0,9,1
,4878,4977,9,0,10,1
,4878,4980,9,0,11,1
,4878,4982,9,0,12,1
,4878,4962,9,0,6,0
,4878,4966,9,0,7,0
,4878,4970,9,0,8,0
,4878,4974,9,0,9,0
,4878,4977,9,0,10,0
,4878,4980,9,0,11,0
,4878,4982,9,0,12,0
,4878,4962,9,0,6,-1
,4878,4966,9,0,7,-1
,4878,4970,9,0,8,-1
,4878,4974,9,0,9,-1
,4878,4977,9,0,10,-1
,4878,4980,9,0,11,-1
,4878,4982,9,0,12,-1
,4878,4962,9,0,6,-2
,4878,4966,9,0,7,-2
,4878,4970,9,0,8,-2
,4878,4974,9,0,9,-2
,4878,4977,9,0,10,-2
,4878,4980,9,0,11,-2
,4878,4982,9,0,12,-2
,4878,4963,9,0,6,-3
,4878,4967,9,0,7,-3
