TLD,Dose Medida (Dm),Dose Calculada (Dc),Ponto Medido X (rm_x),Ponto Medido Y (rm_y),Ponto Calculado X (rc_x),Ponto Calculado Y (rc_y)
67,4982,4983,18,18,15,21
,4982,4976,18,18,16,21
,4982,4966,18,18,17,21
,4982,4949,18,18,18,21
,4982,4923,18,18,19,21
,4982,4883,18,18,20,21
,4982,4819,18,18,21,21
,4982,5042,18,18,15,20
,4982,5035,18,18,16,20
,4982,5024,18,18,17,20
,4982,5007,18,18,18,20
,4982,4981,18,18,19,20
,4982,4940,18,18,20,20
,4982,4876,18,18,21,20
,4982,5079,18,18,15,19
,4982,5072,18,18,16,19
,4982,5061,18,18,17,19
,4982,5043,18,18,18,19
,4982,5017,18,18,19,19
,4982,4976,18,18,20,19
,4982,4911,18,18,21,19
,4982,5103,18,18,15,18
,4982,5096,18,18,16,18
,4982,5085,18,18,17,18
,4982,5067,18,18,18,18
,4982,5040,18,18,19,18
,4982,4999,18,18,20,18
,4982,4933,18,18,21,18
,4982,5118,18,18,15,17
,4982,5111,18,18,16,17
,4982,5100,18,18,17,17
,4982,5082,18,18,18,17
,4982,5055,18,18,19,17
,4982,5013,18,18,20,17
,4982,4947,18,18,21,17
,4982,5128,18,18,15,16
,4982,5121,18,18,16,16
,4982,5109,18,18,17,16
,4982,5092,18,18,18,16
,4982,5064,18,18,19,16
,4982,5022,18,18,20,16
,4982,4956,18,18,21,16
,4982,5134,18,18,15,15
,4982,5127,18,18,16,15
,4982,5116,18,18,17,15
,4982,5098,18,18,18,15
,4982,5070,18,18,19,15
,4982,5028,18,18,20,15
,4982,4962,18,18,21,15
142,5022,4989,9,18,6,21
,5022,4989,9,18,7,21
,5022,4989,9,18,8,21
,5022,4990,9,18,9,21
,5022,4990,9,18,10,21
,5022,4991,9,18,11,21
,5022,4991,9,18,12,21
,5022,5048,9,18,6,20
,5022,5048,9,18,7,20
,5022,5048,9,18,8,20
,5022,5049,9,18,9,20
,5022,5049,9,18,10,20
,5022,5050,9,18,11,20
,5022,5050,9,18,12,20
,5022,5085,9,18,6,19
,5022,5085,9,18,7,19
,5022,5085,9,18,8,19
,5022,5086,9,18,9,19
,5022,5086,9,18,10,19
,5022,5087,9,18,11,19
,5022,5086,9,18,12,19
,5022,5110,9,18,6,18
,5022,5109,9,18,7,18
,5022,5109,9,18,8,18
,5022,5110,9,18,9,18
,5022,5111,9,18,10,18
,5022,5111,9,18,11,18
,5022,5111,9,18,12,18
,5022,5126,9,18,6,17
,5022,5125,9,18,7,17
,5022,5125,9,18,8,17
,5022,5126,9,18,9,17
,5022,5127,9,18,10,17
,5022,5127,9,18,11,17
,5022,5126,9,18,12,17
,5022,5136,9,18,6,16
,5022,5135,9,18,7,16
,5022,5135,9,18,8,16
,5022,5136,9,18,9,16
,5022,5137,9,18,10,16
,5022,5137,9,18,11,16
,5022,5136,9,18,12,16
,5022,5143,9,18,6,15
,5022,5142,9,18,7,15
,5022,5142,9,18,8,15
,5022,5143,9,18,9,15
,5022,5143,9,18,10,15
,5022,5143,9,18,11,15
,5022,5143,9,18,12,15
162,5070,4993,0,18,-3,21
,5070,4993,0,18,-2,21
,5070,4993,0,18,-1,21
,5070,4993,0,18,0,21
,5070,4992,0,18,1,21
,5070,4992,0,18,2,21
,5070,4992,0,18,3,21
,5070,5051,0,18,-3,20
,5070,5052,0,18,-2,20
,5070,5052,0,18,-1,20
,5070,5052,0,18,0,20
,5070,5051,0,18,1,20
,5070,5051,0,18,2,20
,5070,5050,0,18,3,20
,5070,5088,0,18,-3,19
,5070,5089,0,18,-2,19
,5070,5089,0,18,-1,19
,5070,5088,0,18,0,19
,5070,5088,0,18,1,19
,5070,5088,0,18,2,19
,5070,5087,0,18,3,19
,5070,5113,0,18,-3,18
,5070,5113,0,18,-2,18
,5070,5113,0,18,-1,18
,5070,5113,0,18,0,18
,5070,5113,0,18,1,18
,5070,5112,0,18,2,18
,5070,5112,0,18,3,18
,5070,5129,0,18,-3,17
,5070,5129,0,18,-2,17
,5070,5129,0,18,-1,17
,5070,5129,0,18,0,17
,5070,5128,0,18,1,17
,5070,5128,0,18,2,17
,5070,5127,0,18,3,17
,5070,5139,0,18,-3,16
,5070,5139,0,18,-2,16
,5070,5139,0,18,-1,16
,5070,5139,0,18,0,16
,5070,5138,0,18,1,16
,5070,5138,0,18,2,16
,5070,5137,0,18,3,16
,5070,5145,0,18,-3,15
,5070,5146,0,18,-2,15
,5070,5146,0,18,-1,15
,5070,5145,0,18,0,15
,5070,5145,0,18,1,15
,5070,5144,0,18,2,15
,5070,5144,0,18,3,15
229,5031,4991,-9,18,-12,21
,5031,4992,-9,18,-11,21
,5031,4991,-9,18,-10,21
,5031,4991,-9,18,-9,21
,5031,4989,-9,18,-8,21
,5031,4990,-9,18,-7,21
,5031,4991,-9,18,-6,21
,5031,5050,-9,18,-12,20
,5031,5050,-9,18,-11,20
,5031,5050,-9,18,-10,20
,5031,5050,-9,18,-9,20
,5031,5049,-9,18,-8,20
,5031,5048,-9,18,-7,20
,5031,5049,-9,18,-6,20
,5031,5087,-9,18,-12,19
,5031,5087,-9,18,-11,19
,5031,5087,-9,18,-10,19
,5031,5087,-9,18,-9,19
,5031,5086,-9,18,-8,19
,5031,5086,-9,18,-7,19
,5031,5086,-9,18,-6,19
,5031,5111,-9,18,-12,18
,5031,5112,-9,18,-11,18
,5031,5112,-9,18,-10,18
,5031,5111,-9,18,-9,18
,5031,5110,-9,18,-8,18
,5031,5110,-9,18,-7,18
,5031,5111,-9,18,-6,18
,5031,5127,-9,18,-12,17
,5031,5127,-9,18,-11,17
,5031,5127,-9,18,-10,17
,5031,5127,-9,18,-9,17
,5031,5126,-9,18,-8,17
,5031,5126,-9,18,-7,17
,5031,5127,-9,18,-6,17
,5031,5137,-9,18,-12,16
,5031,5137,-9,18,-11,16
,5031,5137,-9,18,-10,16
,5031,5137,-9,18,-9,16
,5031,5136,-9,18,-8,16
,5031,5136,-9,18,-7,16
,5031,5137,-9,18,-6,16
,5031,5143,-9,18,-12,15
,5031,5144,-9,18,-11,15
,5031,5144,-9,18,-10,15
,5031,5144,-9,18,-9,15
,5031,5143,-9,18,-8,15
,5031,5143,-9,18,-7,15
,5031,5144,-9,18,-6,15
185,4997,4820,-18,18,-21,21
,4997,4884,-18,18,-20,21
,4997,4924,-18,18,-19,21
,4997,4949,-18,18,-18,21
,4997,4966,-18,18,-17,21
,4997,4976,-18,18,-16,21
,4997,4983,-18,18,-15,21
,4997,4877,-18,18,-21,20
,4997,4941,-18,18,-20,20
,4997,4981,-18,18,-19,20
,4997,5007,-18,18,-18,20
,4997,5024,-18,18,-17,20
,4997,5035,-18,18,-16,20
,4997,5042,-18,18,-15,20
,4997,4912,-18,18,-21,19
,4997,4976,-18,18,-20,19
,4997,5017,-18,18,-19,19
,4997,5044,-18,18,-18,19
,4997,5061,-18,18,-17,19
,4997,5072,-18,18,-16,19
,4997,5079,-18,18,-15,19
,4997,4935,-18,18,-21,18
,4997,5000,-18,18,-20,18
,4997,5041,-18,18,-19,18
,4997,5067,-18,18,-18,18
,4997,5085,-18,18,-17,18
,4997,5096,-18,18,-16,18
,4997,5103,-18,18,-15,18
