TLD,Dose Medida (Dm),Dose Calculada (Dc),Ponto Medido X (rm_x),Ponto Medido Y (rm_y),Ponto Calculado X (rc_x),Ponto Calculado Y (rc_y)
67,5019,4983,18,18,15,21
,5019,4976,18,18,16,21
,5019,4966,18,18,17,21
,5019,4949,18,18,18,21
,5019,4923,18,18,19,21
,5019,4883,18,18,20,21
,5019,4819,18,18,21,21
,5019,5042,18,18,15,20
,5019,5035,18,18,16,20
,5019,5024,18,18,17,20
,5019,5007,18,18,18,20
,5019,4981,18,18,19,20
,5019,4940,18,18,20,20
,5019,4876,18,18,21,20
,5019,5079,18,18,15,19
,5019,5072,18,18,16,19
,5019,5061,18,18,17,19
,5019,5043,18,18,18,19
,5019,5017,18,18,19,19
,5019,4976,18,18,20,19
,5019,4911,18,18,21,19
,5019,5103,18,18,15,18
,5019,5096,18,18,16,18
,5019,5085,18,18,17,18
,5019,5067,18,18,18,18
,5019,5040,18,18,19,18
,5019,4999,18,18,20,18
,5019,4933,18,18,21,18
,5019,5118,18,18,15,17
,5019,5111,18,18,16,17
,5019,5100,18,18,17,17
,5019,5082,18,18,18,17
,5019,5055,18,18,19,17
,5019,5013,18,18,20,17
,5019,4947,18,18,21,17
,5019,5128,18,18,15,16
,5019,5121,18,18,16,16
,5019,5109,18,18,17,16
,5019,5092,18,18,18,16
,5019,5064,18,18,19,16
,5019,5022,18,18,20,16
,5019,4956,18,18,21,16
,5019,5134,18,18,15,15
,5019,5127,18,18,16,15
,5019,5116,18,18,17,15
,5019,5098,18,18,18,15
,5019,5070,18,18,19,15
,5019,5028,18,18,20,15
,5019,4962,18,18,21,15
142,5027,4989,9,18,6,21
,5027,4989,9,18,7,21
,5027,4989,9,18,8,21
,5027,4990,9,18,9,21
,5027,4990,9,18,10,21
,5027,4991,9,18,11,21
,5027,4991,9,18,12,21
,5027,5048,9,18,6,20
,5027,5048,9,18,7,20
,5027,5048,9,18,8,20
,5027,5049,9,18,9,20
,5027,5049,9,18,10,20
,5027,5050,9,18,11,20
,5027,5050,9,18,12,20
,5027,5085,9,18,6,19
,5027,5085,9,18,7,19
,5027,5085,9,18,8,19
,5027,5086,9,18,9,19
,5027,5086,9,18,10,19
,5027,5087,9,18,11,19
,5027,5086,9,18,12,19
,5027,5110,9,18,6,18
,5027,5109,9,18,7,18
,5027,5109,9,18,8,18
,5027,5110,9,18,9,18
,5027,5111,9,18,10,18
,5027,5111,9,18,11,18
,5027,5111,9,18,12,18
,5027,5126,9,18,6,17
,5027,5125,9,18,7,17
,5027,5125,9,18,8,17
,5027,5126,9,18,9,17
,5027,5127,9,18,10,17
,5027,5127,9,18,11,17
,5027,5126,9,18,12,17
,5027,5136,9,18,6,16
,5027,5135,9,18,7,16
,5027,5135,9,18,8,16
,5027,5136,9,18,9,16
,5027,5137,9,18,10,16
,5027,5137,9,18,11,16
,5027,5136,9,18,12,16
,5027,5143,9,18,6,15
,5027,5142,9,18,7,15
,5027,5142,9,18,8,15
,5027,5143,9,18,9,15
,5027,5143,9,18,10,15
,5027,5143,9,18,11,15
,5027,5143,9,18,12,15
162,5036,4993,0,18,-3,21
,5036,4993,0,18,-2,21
,5036,4993,0,18,-1,21
,5036,4993,0,18,0,21
,5036,4992,0,18,1,21
