TLD,Dose Medida (Dm),Dose Calculada (Dc),Ponto Medido X (rm_x),Ponto Medido Y (rm_y),Ponto Calculado X (rc_x),Ponto Calculado Y (rc_y)
184,4888,4814,18,18,15,21
,4888,4809,18,18,16,21
,4888,4800,18,18,17,21
,4888,4786,18,18,18,21
,4888,4762,18,18,19,21
,4888,4724,18,18,20,21
,4888,4663,18,18,21,21
,4888,4871,18,18,15,20
,4888,4866,18,18,16,20
,4888,4857,18,18,17,20
,4888,4842,18,18,18,20
,4888,4818,18,18,19,20
,4888,4779,18,18,20,20
,4888,4718,18,18,21,20
,4888,4906,18,18,15,19
,4888,4901,18,18,16,19
,4888,4892,18,18,17,19
,4888,4877,18,18,18,19
,4888,4852,18,18,19,19
,4888,4814,18,18,20,19
,4888,4752,18,18,21,19
,4888,4930,18,18,15,18
,4888,4924,18,18,16,18
,4888,4915,18,18,17,18
,4888,4900,18,18,18,18
,4888,4875,18,18,19,18
,4888,4836,18,18,20,18
,4888,4774,18,18,21,18
,4888,4944,18,18,15,17
,4888,4939,18,18,16,17
,4888,4930,18,18,17,17
,4888,4914,18,18,18,17
,4888,4889,18,18,19,17
,4888,4849,18,18,20,17
,4888,4787,18,18,21,17
,4888,4953,18,18,15,16
,4888,4948,18,18,16,16
,4888,4939,18,18,17,16
,4888,4923,18,18,18,16
,4888,4898,18,18,19,16
,4888,4858,18,18,20,16
,4888,4795,18,18,21,16
,4888,4959,18,18,15,15
,4888,4954,18,18,16,15
,4888,4945,18,18,17,15
,4888,4929,18,18,18,15
,4888,4904,18,18,19,15
,4888,4864,18,18,20,15
,4888,4801,18,18,21,15
86,4919,4815,9,18,6,21
,4919,4817,9,18,7,21
,4919,4820,9,18,8,21
,4919,4823,9,18,9,21
,4919,4826,9,18,10,21
,4919,4829,9,18,11,21
,4919,4831,9,18,12,21
,4919,4872,9,18,6,20
,4919,4875,9,18,7,20
,4919,4877,9,18,8,20
,4919,4881,9,18,9,20
,4919,4884,9,18,10,20
,4919,4886,9,18,11,20
,4919,4888,9,18,12,20
,4919,4908,9,18,6,19
,4919,4910,9,18,7,19
,4919,4913,9,18,8,19
,4919,4916,9,18,9,19
,4919,4919,9,18,10,19
,4919,4922,9,18,11,19
,4919,4924,9,18,12,19
,4919,4931,9,18,6,18
,4919,4934,9,18,7,18
,4919,4937,9,18,8,18
,4919,4940,9,18,9,18
,4919,4943,9,18,10,18
