TLD,Dose Medida (Dm),Dose Calculada (Dc),Ponto Medido X (rm_x),Ponto Medido Y (rm_y),Ponto Calculado X (rc_x),Ponto Calculado Y (rc_y)
252,4854,4826,18,18,15,21
,4854,4820,18,18,16,21
,4854,4811,18,18,17,21
,4854,4797,18,18,18,21
,4854,4774,18,18,19,21
,4854,4739,18,18,20,21
,4854,4683,18,18,21,21
,4854,4879,18,18,15,20
,4854,4873,18,18,16,20
,4854,4863,18,18,17,20
,4854,4848,18,18,18,20
,4854,4825,18,18,19,20
,4854,4789,18,18,20,20
,4854,4733,18,18,21,20
,4854,4911,18,18,15,19
,4854,4905,18,18,16,19
,4854,4895,18,18,17,19
,4854,4879,18,18,18,19
,4854,4856,18,18,19,19
,4854,4819,18,18,20,19
,4854,4762,18,18,21,19
,4854,4932,18,18,15,18
,4854,4926,18,18,16,18
,4854,4916,18,18,17,18
,4854,4900,18,18,18,18
,4854,4876,18,18,19,18
,4854,4838,18,18,20,18
,4854,4781,18,18,21,18
,4854,4944,18,18,15,17
,4854,4938,18,18,16,17
,4854,4928,18,18,17,17
,4854,4912,18,18,18,17
,4854,4887,18,18,19,17
,4854,4849,18,18,20,17
,4854,4791,18,18,21,17
,4854,4951,18,18,15,16
,4854,4945,18,18,16,16
,4854,4935,18,18,17,16
,4854,4919,18,18,18,16
,4854,4894,18,18,19,16
,4854,4856,18,18,20,16
,4854,4797,18,18,21,16
,4854,4955,18,18,15,15
,4854,4948,18,18,16,15
,4854,4938,18,18,17,15
,4854,4922,18,18,18,15
,4854,4898,18,18,19,15
,4854,4859,18,18,20,15
,4854,4800,18,18,21,15
130,4877,4832,9,18,6,21
,4877,4831,9,18,7,21
,4877,4831,9,18,8,21
,4877,4832,9,18,9,21
,4877,4833,9,18,10,21
,4877,4833,9,18,11,21
,4877,4833,9,18,12,21
,4877,4883,9,18,6,20
,4877,4883,9,18,7,20
,4877,4883,9,18,8,20
,4877,4884,9,18,9,20
,4877,4885,9,18,10,20
,4877,4885,9,18,11,20
,4877,4886,9,18,12,20
,4877,4916,9,18,6,19
,4877,4915,9,18,7,19
,4877,4915,9,18,8,19
,4877,4916,9,18,9,19
,4877,4917,9,18,10,19
,4877,4918,9,18,11,19
,4877,4918,9,18,12,19
,4877,4937,9,18,6,18
,4877,4936,9,18,7,18
,4877,4936,9,18,8,18
,4877,4937,9,18,9,18
,4877,4938,9,18,10,18
,4877,4939,9,18,11,18
,4877,4939,9,18,12,18
,4877,4949,9,18,6,17
,4877,4949,9,18,7,17
,4877,4949,9,18,8,17
,4877,4950,9,18,9,17
,4877,4951,9,18,10,17
,4877,4951,9,18,11,17
,4877,4951,9,18,12,17
,4877,4956,9,18,6,16
,4877,4956,9,18,7,16
,4877,4956,9,18,8,16
,4877,4957,9,18,9,16
,4877,4958,9,18,10,16
,4877,4958,9,18,11,16
,4877,4958,9,18,12,16
,4877,4960,9,18,6,15
,4877,4960,9,18,7,15
,4877,4960,9,18,8,15
,4877,4961,9,18,9,15
,4877,4961,9,18,10,15
,4877,4962,9,18,11,15
,4877,4962,9,18,12,15
66,4913,4834,0,18,-3,21
,4913,4835,0,18,-2,21
,4913,4835,0,18,-1,21
,4913,4834,0,18,0,21
,4913,4834,0,18,1,21
,4913,4834,0,18,2,21
,4913,4833,0,18,3,21
,4913,4886,0,18,-3,20
,4913,4886,0,18,-2,20
,4913,4886,0,18,-1,20
,4913,4886,0,18,0,20
,4913,4886,0,18,1,20
,4913,4885,0,18,2,20
,4913,4885,0,18,3,20
,4913,4918,0,18,-3,19
,4913,4918,0,18,-2,19
,4913,4918,0,18,-1,19
,4913,4918,0,18,0,19
,4913,4918,0,18,1,19
,4913,4918,0,18,2,19
,4913,4917,0,18,3,19
,4913,4939,0,18,-3,18
,4913,4939,0,18,-2,18
,4913,4939,0,18,-1,18
,4913,4939,0,18,0,18
,4913,4939,0,18,1,18
,4913,4938,0,18,2,18
,4913,4938,0,18,3,18
,4913,4951,0,18,-3,17
,4913,4951,0,18,-2,17
,4913,4952,0,18,-1,17
,4913,4951,0,18,0,17
,4913,4951,0,18,1,17
,4913,4951,0,18,2,17
,4913,4950,0,18,3,17
,4913,4958,0,18,-3,16
,4913,4958,0,18,-2,16
,4913,4958,0,18,-1,16
,4913,4958,0,18,0,16
,4913,4958,0,18,1,16
,4913,4957,0,18,2,16
,4913,4957,0,18,3,16
,4913,4962,0,18,-3,15
,4913,4962,0,18,-2,15
,4913,4962,0,18,-1,15
,4913,4962,0,18,0,15
,4913,4962,0,18,1,15
,4913,4961,0,18,2,15
,4913,4961,0,18,3,15
248,4863,4833,-9,18,-12,21
,4863,4834,-9,18,-11,21
,4863,4834,-9,18,-10,21
,4863,4833,-9,18,-9,21
,4863,4832,-9,18,-8,21
,4863,4832,-9,18,-7,21
,4863,4833,-9,18,-6,21
,4863,4886,-9,18,-12,20
,4863,4886,-9,18,-11,20
,4863,4886,-9,18,-10,20
,4863,4885,-9,18,-9,20
,4863,4884,-9,18,-8,20
,4863,4884,-9,18,-7,20
,4863,4885,-9,18,-6,20
,4863,4918,-9,18,-12,19
,4863,4918,-9,18,-11,19
,4863,4918,-9,18,-10,19
,4863,4917,-9,18,-9,19
,4863,4916,-9,18,-8,19
,4863,4916,-9,18,-7,19
,4863,4917,-9,18,-6,19
,4863,4939,-9,18,-12,18
,4863,4939,-9,18,-11,18
,4863,4939,-9,18,-10,18
,4863,4938,-9,18,-9,18
,4863,4937,-9,18,-8,18
,4863,4937,-9,18,-7,18
,4863,4938,-9,18,-6,18
,4863,4951,-9,18,-12,17
,4863,4952,-9,18,-11,17
,4863,4951,-9,18,-10,17
,4863,4951,-9,18,-9,17
,4863,4950,-9,18,-8,17
,4863,4950,-9,18,-7,17
,4863,4950,-9,18,-6,17
,4863,4958,-9,18,-12,16
,4863,4958,-9,18,-11,16
,4863,4958,-9,18,-10,16
,4863,4958,-9,18,-9,16
,4863,4957,-9,18,-8,16
,4863,4957,-9,18,-7,16
,4863,4957,-9,18,-6,16
,4863,4962,-9,18,-12,15
,4863,4962,-9,18,-11,15
,4863,4962,-9,18,-10,15
,4863,4962,-9,18,-9,15
,4863,4961,-9,18,-8,15
,4863,4961,-9,18,-7,15
,4863,4961,-9,18,-6,15
228,4819,4683,-18,18,-21,21
,4819,4740,-18,18,-20,21
,4819,4775,-18,18,-19,21
,4819,4797,-18,18,-18,21
,4819,4811,-18,18,-17,21
,4819,4820,-18,18,-16,21
,4819,4826,-18,18,-15,21
,4819,4733,-18,18,-21,20
,4819,4789,-18,18,-20,20
,4819,4825,-18,18,-19,20
,4819,4848,-18,18,-18,20
,4819,4863,-18,18,-17,20
,4819,4872,-18,18,-16,20
,4819,4879,-18,18,-15,20
,4819,4763,-18,18,-21,19
,4819,4820,-18,18,-20,19
,4819,4856,-18,18,-19,19
,4819,4880,-18,18,-18,19
,4819,4895,-18,18,-17,19
,4819,4905,-18,18,-16,19
,4819,4911,-18,18,-15,19
,4819,4782,-18,18,-21,18
,4819,4839,-18,18,-20,18
,4819,4876,-18,18,-19,18
,4819,4900,-18,18,-18,18
,4819,4916,-18,18,-17,18
,4819,4926,-18,18,-16,18
,4819,4932,-18,18,-15,18
,4819,4792,-18,18,-21,17
,4819,4850,-18,18,-20,17
,4819,4888,-18,18,-19,17
,4819,4912,-18,18,-18,17
,4819,4928,-18,18,-17,17
,4819,4938,-18,18,-16,17
,4819,4944,-18,18,-15,17
,4819,4798,-18,18,-21,16
,4819,4857,-18,18,-20,16
,4819,4895,-18,18,-19,16
,4819,4919,-18,18,-18,16
,4819,4935,-18,18,-17,16
,4819,4945,-18,18,-16,16
,4819,4951,-18,18,-15,16
,4819,4801,-18,18,-21,15
,4819,4860,-18,18,-20,15
,4819,4898,-18,18,-19,15
,4819,4922,-18,18,-18,15
,4819,4938,-18,18,-17,15
,4819,4948,-18,18,-16,15
,4819,4955,-18,18,-15,15
250,4853,4972,18,9,15,12
,4853,4966,18,9,16,12
,4853,4956,18,9,17,12
,4853,4940,18,9,18,12
,4853,4915,18,9,19,12
,4853,4876,18,9,20,12
,4853,4817,18,9,21,12
,4853,4970,18,9,15,11
,4853,4963,18,9,16,11
,4853,4953,18,9,17,11
,4853,4937,18,9,18,11
