TLD,Dose Medida (Dm),Dose Calculada (Dc),Ponto Medido X (rm_x),Ponto Medido Y (rm_y),Ponto Calculado X (rc_x),Ponto Calculado Y (rc_y)
,5189,5202,0,0,1,2
,5189,5203,0,0,2,2
,5189,5204,0,0,3,2
,5189,5203,0,0,-3,1
,5189,5202,0,0,-2,1
,5189,5201,0,0,-1,1
,5189,5200,0,0,0,1
,5189,5201,0,0,1,1
,5189,5202,0,0,2,1
,5189,5203,0,0,3,1
,5189,5203,0,0,-3,0
,5189,5202,0,0,-2,0
,5189,5201,0,0,-1,0
,5189,5200,0,0,0,0
,5189,5201,0,0,1,0
,5189,5202,0,0,2,0
,5189,5203,0,0,3,0
,5189,5203,0,0,-3,-1
,5189,5202,0,0,-2,-1
,5189,5201,0,0,-1,-1
,5189,5200,0,0,0,-1
,5189,5201,0,0,1,-1
,5189,5202,0,0,2,-1
,5189,5203,0,0,3,-1
,5189,5204,0,0,-3,-2
,5189,5203,0,0,-2,-2
,5189,5202,0,0,-1,-2
,5189,5202,0,0,0,-2
,5189,5202,0,0,1,-2
,5189,5203,0,0,2,-2
,5189,5204,0,0,3,-2
,5189,5205,0,0,-3,-3
,5189,5204,0,0,-2,-3
,5189,5203,0,0,-1,-3
,5189,5203,0,0,0,-3
,5189,5203,0,0,1,-3
,5189,5204,0,0,2,-3
,5189,5205,0,0,3,-3
148,5163,5214,-9,0,-12,3
,5163,5214,-9,0,-11,3
,5163,5213,-9,0,-10,3
,5163,5212,-9,0,-9,3
,5163,5211,-9,0,-8,3
,5163,5209,-9,0,-7,3
,5163,5208,-9,0,-6,3
,5163,5214,-9,0,-12,2
,5163,5214,-9,0,-11,2
,5163,5213,-9,0,-10,2
,5163,5212,-9,0,-9,2
,5163,5210,-9,0,-8,2
,5163,5209,-9,0,-7,2
,5163,5208,-9,0,-6,2
,5163,5214,-9,0,-12,1
,5163,5214,-9,0,-11,1
,5163,5213,-9,0,-10,1
,5163,5212,-9,0,-9,1
,5163,5210,-9,0,-8,1
,5163,5209,-9,0,-7,1
,5163,5207,-9,0,-6,1
,5163,5214,-9,0,-12,0
,5163,5214,-9,0,-11,0
,5163,5213,-9,0,-10,0
